Country,State,Year,Month,Name Of The Fertilizer Used,"Required Fertilizer Quantity (UOM:MT(MetricTonne)), Scaling Factor:1","Available Fertilizer Quantity (UOM:MT(MetricTonne)), Scaling Factor:1"
India,Mizoram,"Financial Year (Apr - Mar), 2016","December, 2016",UREA,0.00,0.00
India,Mizoram,"Financial Year (Apr - Mar), 2016","December, 2016","nitrogen, phosphorus, and potassium",0.00,0.00
India,Nagaland,"Financial Year (Apr - Mar), 2016","December, 2016",Diammonium Phosphate,0.00,0.00
India,Nagaland,"Financial Year (Apr - Mar), 2016","December, 2016",Monoammonium Phosphate,0.00,0.00
India,Nagaland,"Financial Year (Apr - Mar), 2016","December, 2016",Muriate of Potash (MOP) or Potassium Chloride,0.00,0.00
India,Nagaland,"Financial Year (Apr - Mar), 2016","December, 2016",Triple superphosphate,0.00,0.00
India,Nagaland,"Financial Year (Apr - Mar), 2016","December, 2016",UREA,0.00,0.00
India,Nagaland,"Financial Year (Apr - Mar), 2016","December, 2016","nitrogen, phosphorus, and potassium",0.00,0.00
India,Odisha,"Financial Year (Apr - Mar), 2016","December, 2016",Diammonium Phosphate,0.00,11589.73
India,Odisha,"Financial Year (Apr - Mar), 2016","December, 2016",Monoammonium Phosphate,0.00,0.00
India,Odisha,"Financial Year (Apr - Mar), 2016","December, 2016",Muriate of Potash (MOP) or Potassium Chloride,0.00,15099.15
India,Odisha,"Financial Year (Apr - Mar), 2016","December, 2016",Triple superphosphate,0.00,0.00
India,Odisha,"Financial Year (Apr - Mar), 2016","December, 2016",UREA,0.00,12625.50
India,Odisha,"Financial Year (Apr - Mar), 2016","December, 2016","nitrogen, phosphorus, and potassium",0.00,20790.42
India,Puducherry,"Financial Year (Apr - Mar), 2016","December, 2016",Diammonium Phosphate,0.00,111.00
India,Puducherry,"Financial Year (Apr - Mar), 2016","December, 2016",Monoammonium Phosphate,0.00,0.00
India,Puducherry,"Financial Year (Apr - Mar), 2016","December, 2016",Muriate of Potash (MOP) or Potassium Chloride,0.00,0.00
India,Puducherry,"Financial Year (Apr - Mar), 2016","December, 2016",Triple superphosphate,0.00,0.00
India,Puducherry,"Financial Year (Apr - Mar), 2016","December, 2016",UREA,0.00,0.00
India,Puducherry,"Financial Year (Apr - Mar), 2016","December, 2016","nitrogen, phosphorus, and potassium",0.00,94.80
India,Punjab,"Financial Year (Apr - Mar), 2016","December, 2016",Diammonium Phosphate,0.00,27251.60
India,Punjab,"Financial Year (Apr - Mar), 2016","December, 2016",Monoammonium Phosphate,0.00,0.00
India,Punjab,"Financial Year (Apr - Mar), 2016","December, 2016",Muriate of Potash (MOP) or Potassium Chloride,0.00,24022.30
India,Punjab,"Financial Year (Apr - Mar), 2016","December, 2016",Triple superphosphate,0.00,3355.30
India,Punjab,"Financial Year (Apr - Mar), 2016","December, 2016",UREA,0.00,4113.45
India,Punjab,"Financial Year (Apr - Mar), 2016","December, 2016","nitrogen, phosphorus, and potassium",0.00,1001.87
India,Rajasthan,"Financial Year (Apr - Mar), 2016","December, 2016",Diammonium Phosphate,0.00,11993.40
India,Rajasthan,"Financial Year (Apr - Mar), 2016","December, 2016",Monoammonium Phosphate,0.00,0.00
India,Rajasthan,"Financial Year (Apr - Mar), 2016","December, 2016",Muriate of Potash (MOP) or Potassium Chloride,0.00,2411.60
India,Rajasthan,"Financial Year (Apr - Mar), 2016","December, 2016",Triple superphosphate,0.00,3526.25
India,Rajasthan,"Financial Year (Apr - Mar), 2016","December, 2016",UREA,0.00,3597.35
India,Rajasthan,"Financial Year (Apr - Mar), 2016","December, 2016","nitrogen, phosphorus, and potassium",0.00,5036.20
India,Sikkim,"Financial Year (Apr - Mar), 2016","December, 2016",Diammonium Phosphate,0.00,0.00
India,Sikkim,"Financial Year (Apr - Mar), 2016","December, 2016",Monoammonium Phosphate,0.00,0.00
India,Sikkim,"Financial Year (Apr - Mar), 2016","December, 2016",Muriate of Potash (MOP) or Potassium Chloride,0.00,0.00
India,Sikkim,"Financial Year (Apr - Mar), 2016","December, 2016",Triple superphosphate,0.00,0.00
India,Sikkim,"Financial Year (Apr - Mar), 2016","December, 2016",UREA,0.00,0.00
India,Sikkim,"Financial Year (Apr - Mar), 2016","December, 2016","nitrogen, phosphorus, and potassium",0.00,0.00
India,Tamil Nadu,"Financial Year (Apr - Mar), 2016","December, 2016",Diammonium Phosphate,0.00,21057.60
India,Tamil Nadu,"Financial Year (Apr - Mar), 2016","December, 2016",Monoammonium Phosphate,0.00,0.00
India,Tamil Nadu,"Financial Year (Apr - Mar), 2016","December, 2016",Muriate of Potash (MOP) or Potassium Chloride,0.00,11810.25
India,Tamil Nadu,"Financial Year (Apr - Mar), 2016","December, 2016",Triple superphosphate,0.00,0.00
India,Tamil Nadu,"Financial Year (Apr - Mar), 2016","December, 2016",UREA,0.00,1723.15
India,Tamil Nadu,"Financial Year (Apr - Mar), 2016","December, 2016","nitrogen, phosphorus, and potassium",0.00,40921.62
India,Telangana,"Financial Year (Apr - Mar), 2016","December, 2016",Diammonium Phosphate,20000.00,13219.60
India,Telangana,"Financial Year (Apr - Mar), 2016","December, 2016",Monoammonium Phosphate,0.00,0.00
India,Telangana,"Financial Year (Apr - Mar), 2016","December, 2016",Muriate of Potash (MOP) or Potassium Chloride,20000.00,15693.28
India,Telangana,"Financial Year (Apr - Mar), 2016","December, 2016",Single super Phosphate,15000.00,0.00
India,Telangana,"Financial Year (Apr - Mar), 2016","December, 2016",Triple superphosphate,0.00,0.00
India,Telangana,"Financial Year (Apr - Mar), 2016","December, 2016",UREA,150000.00,3101.48
India,Telangana,"Financial Year (Apr - Mar), 2016","December, 2016","nitrogen, phosphorus, and potassium",100000.00,60066.78
India,The Dadra And Nagar Haveli And Daman And Diu,"Financial Year (Apr - Mar), 2016","December, 2016",Diammonium Phosphate,0.00,12.25
India,The Dadra And Nagar Haveli And Daman And Diu,"Financial Year (Apr - Mar), 2016","December, 2016",Monoammonium Phosphate,0.00,0.00
India,The Dadra And Nagar Haveli And Daman And Diu,"Financial Year (Apr - Mar), 2016","December, 2016",Muriate of Potash (MOP) or Potassium Chloride,0.00,0.00
India,The Dadra And Nagar Haveli And Daman And Diu,"Financial Year (Apr - Mar), 2016","December, 2016",Single super Phosphate,0.00,0.00
India,The Dadra And Nagar Haveli And Daman And Diu,"Financial Year (Apr - Mar), 2016","December, 2016",Triple superphosphate,0.00,0.00
